,question_cleaned
0,toronto freak landmark becomes medieval fortress north bank thames
1,territory created indiana one part lower upper peninsula
2,red yarnhaired doll served texas governor
3,booth tarkington novel tell tale girl attempt raise station life
4,stonewall jackson earned nickname battle manassas also called battle creek
5,lakers guard anchored today show year
6,l stand laser
7,latin smoke hole vent volcanic area smoke gas escape
8,greek king menelaus wife kidnapped dallas cowboy quarterback
9,book norman mailer told story convicted killer gary gilmore
10,biological classification come family specie
11,april u canada great britain france nation signed mutual defense pact
12,primary source food apis mellifera
13,hubble constant tell fast universe expanding since noisy event occurred
14,born connecticut hanged treason virginia
15,character jesse b semple figure prominently many harlem poet short story
16,new one include illinois ohio
17,official language bahrain
18,le miserables attacked french penal system novel claude gueux
19,system introduced u auto help keep control stopping
20,wrote penrod penrod son penrod jashber
21,latin day body rhythm govern cycle wakefulness sleep
22,song meredith wilson music man many trombone led big parade
23,category called famous andres would include frenchman wrote man fate man hope
24,first census conducted state nearly people populous
25,chief justice negotiated treaty calling british evacuation northwest
26,feminist might tell letter stand
27,star exorcist disappears maryland wood scary film
28,american urged remember battleship sank havana harbor leading war spain
29,trip cartagena colombia first sitting u president south america
30,girl patentleather shoe thats charlotte bronte novel
31,though president chose general site executive mansion never lived
32,one closest number character war peace
33,composer stuart hamblen presidential candidate antiliquor party
34,published flapper philosopher first book short story year married zelda
35,published prophet book poetic essay lebaneseamerican
36,medal metal usually alloy tin copper
37,superman cub reporter pal admits fathering marykate ashley become known
38,james fenimore cooper pioneer oliver edward frontiersman companion
39,traitor took cut rank major general u army brigadier general british army
40,cheryl clue crew indicates phrase monitor proofreading mark like red one indicates writer word
41,film legend became edict european intervention western hemisphere
42,gritty crime novelist played first officer original star trek series
43,november joseph wadsworth hid colony charter british placing oak tree
44,paul reuben persona penned moby dick
45,onetime flying nun land magical baseball diamond farm
46,environmental group founded john muir thats fizzy water
47,oldest california prison make movie like reservoir dog pulp fiction
48,julius nieuwland polymerized acetylene added chlorine atom created synthetic rubber
